iter	Passed	Remaining
0	0	846
1	1	753
2	2	712
3	2	702
4	3	711
5	4	682
6	4	676
7	5	692
8	6	714
9	7	711
10	8	721
11	8	719
12	9	707
13	10	711
14	10	709
15	11	702
16	12	698
17	12	690
18	13	684
19	13	682
20	14	680
21	15	675
22	15	673
23	16	671
24	17	669
25	17	670
26	18	668
27	19	664
28	19	664
29	20	666
30	21	682
31	22	681
32	23	682
33	23	681
34	24	681
35	25	679
36	26	678
37	26	678
38	27	673
39	28	674
40	28	674
41	29	672
42	30	673
43	30	672
44	31	672
45	32	670
46	32	668
47	33	666
48	34	665
49	34	662
50	35	664
51	36	665
52	37	663
53	37	664
54	38	662
55	39	661
56	40	662
57	40	665
58	41	664
59	42	663
60	43	662
61	43	659
62	44	657
63	44	657
64	45	656
65	46	656
66	47	655
67	47	655
68	48	655
69	49	654
70	49	653
71	50	651
72	51	651
73	52	650
74	52	651
75	54	661
76	55	661
77	55	661
78	56	662
79	57	660
80	58	659
81	58	658
82	59	653
83	59	651
84	60	649
85	61	648
86	61	647
87	62	647
88	63	646
89	63	646
90	64	644
91	65	643
92	65	641
93	66	641
94	67	640
95	68	640
96	68	640
97	69	639
98	70	639
99	70	638
100	71	636
101	72	636
102	72	634
103	73	635
104	74	635
105	75	633
106	75	632
107	76	633
108	77	632
109	78	632
110	79	633
111	79	631
112	80	629
113	80	628
114	81	627
115	82	626
116	82	625
117	83	624
118	84	623
119	84	621
120	85	620
121	85	618
122	86	616
123	87	616
124	87	614
125	88	613
126	88	610
127	89	609
128	90	608
129	90	606
130	91	604
131	91	603
132	92	601
133	92	600
134	93	598
135	93	596
136	94	596
137	95	594
138	96	598
139	97	600
140	98	600
141	98	598
142	99	597
143	100	596
144	100	594
145	101	592
146	101	591
147	102	589
148	102	588
149	103	586
150	104	585
151	104	584
152	105	583
153	106	582
154	106	581
155	107	580
156	107	579
157	108	578
158	109	576
159	109	575
160	110	573
161	110	573
162	112	576
163	113	576
164	113	576
165	114	574
166	115	573
167	116	574
168	116	573
169	117	572
170	117	571
171	118	570
172	119	568
173	119	567
174	120	566
175	120	565
176	121	564
177	121	562
178	122	561
179	123	560
180	123	559
181	124	558
182	124	557
183	125	557
184	126	556
185	127	556
186	127	555
187	128	554
188	129	553
189	129	552
190	130	551
191	130	551
192	131	550
193	132	548
194	132	547
195	133	546
196	133	545
197	134	545
198	135	544
199	135	542
200	136	541
201	136	540
202	137	539
203	137	538
204	138	536
205	139	536
206	139	535
207	140	534
208	141	533
209	141	534
210	142	533
211	143	533
212	144	532
213	144	531
214	145	530
215	145	529
216	146	528
217	147	527
218	147	526
219	148	525
220	148	524
221	149	523
222	149	522
223	150	521
224	151	520
225	151	519
226	152	520
227	153	520
228	154	519
229	155	519
230	156	520
231	157	520
232	158	520
233	158	520
234	159	519
235	160	518
236	160	518
237	161	517
238	162	515
239	162	514
240	163	513
241	163	513
242	164	512
243	165	512
244	165	511
245	166	510
246	167	509
247	167	509
248	168	507
249	169	507
250	169	506
251	170	505
252	170	504
253	171	503
254	172	503
255	173	503
256	173	502
257	174	501
258	175	500
259	175	499
260	176	498
261	176	497
262	177	496
263	177	495
264	178	494
265	178	493
266	179	492
267	180	491
268	180	491
269	181	490
270	181	489
271	182	488
272	183	487
273	183	486
274	184	485
275	184	484
276	185	483
277	185	482
278	186	482
279	187	482
280	188	481
281	188	480
282	189	479
283	189	478
284	190	477
285	191	476
286	191	476
287	192	475
288	192	474
289	193	474
290	194	473
291	194	472
292	195	471
293	196	470
294	196	469
295	197	469
296	197	468
297	198	467
298	199	466
299	199	465
300	200	464
301	200	463
302	201	463
303	202	462
304	202	462
305	203	461
306	204	460
307	204	459
308	205	458
309	205	458
310	206	457
311	206	456
312	207	455
313	208	455
314	208	454
315	209	453
316	210	452
317	210	451
318	211	450
319	211	450
320	212	449
321	213	448
322	213	447
323	214	447
324	214	446
325	215	445
326	216	444
327	216	444
328	217	443
329	218	442
330	218	442
331	219	441
332	219	440
333	220	439
334	220	438
335	221	437
336	222	436
337	222	436
338	223	435
339	224	434
340	224	434
341	225	433
342	226	432
343	226	432
344	227	431
345	227	430
346	228	429
347	228	428
348	229	427
349	229	426
350	230	425
351	230	425
352	231	424
353	232	424
354	233	423
355	233	422
356	234	422
357	234	421
358	235	420
359	236	419
360	236	419
361	237	418
362	237	417
363	238	416
364	239	415
365	239	414
366	240	414
367	240	413
368	241	412
369	241	411
370	242	411
371	243	410
372	243	409
373	244	409
374	245	409
375	246	408
376	246	407
377	247	407
378	248	406
379	248	406
380	249	405
381	250	404
382	250	403
383	251	403
384	251	402
385	252	401
386	253	401
387	253	400
388	254	399
389	254	398
390	255	397
391	256	397
392	256	396
393	257	395
394	257	394
395	258	394
396	258	393
397	259	392
398	260	391
399	260	391
400	261	390
401	262	390
402	263	389
403	263	389
404	264	388
405	265	387
406	265	387
407	266	386
408	266	385
409	267	384
410	268	384
411	268	383
412	269	382
413	269	381
414	270	381
415	270	380
416	271	379
417	272	378
418	272	378
419	273	377
420	273	376
421	274	375
422	274	375
423	275	374
424	276	373
425	276	373
426	277	372
427	278	371
428	278	371
429	279	370
430	280	369
431	280	369
432	281	369
433	282	368
434	282	367
435	283	366
436	283	365
437	284	365
438	285	364
439	285	363
440	286	362
441	286	362
442	287	361
443	287	360
444	288	359
445	289	359
446	289	358
447	290	357
448	290	356
449	291	356
450	292	355
451	292	355
452	293	354
453	294	353
454	294	353
455	295	352
456	296	351
457	296	350
458	297	350
459	297	349
460	298	348
461	298	347
462	299	347
463	300	346
464	300	346
465	301	345
466	301	344
467	302	343
468	302	342
469	303	342
470	304	341
471	304	341
472	305	340
473	306	339
474	307	339
475	307	338
476	308	338
477	309	337
478	310	337
479	310	336
480	311	335
481	311	335
482	312	334
483	313	333
484	313	333
485	314	332
486	314	331
487	315	330
488	316	330
489	316	329
490	317	328
491	317	328
492	318	327
493	318	326
494	319	326
495	320	325
496	320	324
497	321	323
498	322	323
499	322	322
500	323	322
501	324	321
502	325	321
503	325	320
504	326	319
505	326	319
506	327	318
507	328	317
508	328	316
509	329	316
510	329	315
511	330	314
512	330	314
513	331	313
514	332	312
515	332	311
516	333	311
517	333	310
518	334	309
519	334	309
520	335	308
521	336	307
522	336	306
523	337	306
524	337	305
525	338	305
526	339	304
527	339	303
528	340	303
529	340	302
530	341	301
531	342	300
532	342	300
533	343	299
534	343	298
535	344	298
536	345	297
537	345	296
538	346	296
539	347	295
540	347	295
541	348	294
542	349	293
543	349	293
544	350	292
545	351	291
546	351	291
547	352	290
548	353	290
549	353	289
550	354	288
551	355	288
552	355	287
553	356	286
554	357	286
555	357	285
556	358	285
557	359	284
558	359	283
559	360	283
560	360	282
561	361	281
562	361	280
563	362	280
564	363	279
565	363	278
566	364	278
567	364	277
568	365	276
569	365	276
570	366	275
571	367	274
572	367	274
573	368	273
574	369	273
575	370	272
576	370	271
577	371	271
578	371	270
579	372	269
580	373	269
581	373	268
582	374	267
583	374	267
584	375	266
585	375	265
586	376	264
587	377	264
588	377	263
589	378	262
590	378	262
591	379	261
592	380	260
593	380	260
594	381	259
595	381	258
596	382	257
597	382	257
598	383	256
599	384	256
600	384	255
601	385	254
602	386	254
603	386	253
604	387	252
605	388	252
606	388	251
607	389	250
608	389	250
609	390	249
610	391	248
611	391	248
612	392	247
613	392	246
614	393	246
615	393	245
616	394	244
617	395	244
618	395	243
619	396	242
620	396	242
621	397	241
622	397	240
623	398	240
624	399	239
625	399	238
626	400	238
627	400	237
628	401	236
629	402	236
630	402	235
631	403	234
632	403	234
633	404	233
634	405	232
635	405	232
636	406	231
637	406	230
638	407	230
639	408	229
640	408	228
641	409	228
642	409	227
643	410	226
644	410	226
645	411	225
646	412	224
647	412	224
648	413	223
649	414	223
650	414	222
651	415	221
652	416	221
653	416	220
654	417	219
655	418	219
656	418	218
657	419	217
658	420	217
659	420	216
660	421	215
661	421	215
662	422	214
